record_type,vehicle_year,vehicle_type,gearbox_family,part_type,part_manufacturer,is_205,installed_parts,defective_parts,defect_frequency,market_share,unique_gearboxes,gearboxes_total,gearboxes_with_205,gearbox_penetration,every_xth_gearbox
gearbox_summary,2008,11,K3AG1,,,,,,,,,5211,1608,0.30857800805987334,3.2406716417910446
gearbox_summary,2008,11,K3SG1,,,,,,,,,20725,18533,0.8942340168878167,1.1182755085523122
gearbox_summary,2008,12,K3AG1,,,,,,,,,1055,308,0.2919431279620853,3.425324675324675
gearbox_summary,2008,12,K3SG1,,,,,,,,,4296,3869,0.9006052141527002,1.1103644352545878
gearbox_summary,2009,11,K3AG1,,,,,,,,,49599,14888,0.30016734208350976,3.331475013433638
gearbox_summary,2009,11,K3SG1,,,,,,,,,197635,176693,0.8940369873757179,1.1185219561612514
gearbox_summary,2009,12,K3AG1,,,,,,,,,10090,3080,0.30525272547076315,3.2759740259740258
gearbox_summary,2009,12,K3SG1,,,,,,,,,40791,36510,0.8950503787600206,1.1172555464256368
gearbox_summary,2010,11,K3AG1,,,,,,,,,49413,14821,0.29994131099103477,3.3339855610282707
gearbox_summary,2010,11,K3SG1,,,,,,,,,197981,177256,0.8953182376086594,1.1169212889831657
gearbox_summary,2010,12,K3AG1,,,,,,,,,10299,3076,0.29866977376444315,3.348179453836151
gearbox_summary,2010,12,K3SG1,,,,,,,,,40770,36554,0.8965906303654648,1.1153362149149204
gearbox_summary,2011,11,K3AG1,,,,,,,,,49440,15024,0.30388349514563107,3.29073482428115
gearbox_summary,2011,11,K3SG1,,,,,,,,,197950,176850,0.8934074261177065,1.119310149844501
gearbox_summary,2011,12,K3AG1,,,,,,,,,10267,3100,0.3019382487581572,3.311935483870968
gearbox_summary,2011,12,K3SG1,,,,,,,,,40915,36638,0.8954662104362703,1.1167367214367596
gearbox_summary,2012,11,K3AG1,,,,,,,,,49648,14840,0.2989042861746697,3.3455525606469
gearbox_summary,2012,11,K3SG1,,,,,,,,,197414,176672,0.8949314638272868,1.1174040028980257
gearbox_summary,2012,12,K3AG1,,,,,,,,,10193,3104,0.30452271166486805,3.283827319587629
gearbox_summary,2012,12,K3SG1,,,,,,,,,40774,36543,0.8962328935105704,1.1157814082040336
gearbox_summary,2013,11,K3AG1,,,,,,,,,49442,14914,0.3016463735285789,3.3151401367842297
gearbox_summary,2013,11,K3SG1,,,,,,,,,198142,177181,0.89421223163186,1.1183027525524747
gearbox_summary,2013,12,K3AG1,,,,,,,,,10183,3105,0.30491996464696064,3.279549114331723
gearbox_summary,2013,12,K3SG1,,,,,,,,,40426,36301,0.8979617078118043,1.1136332332442633
gearbox_summary,2014,11,K3AG1,,,,,,,,,49347,14959,0.30313899527833504,3.298816765826593
gearbox_summary,2014,11,K3SG1,,,,,,,,,197876,177155,0.8952829044452081,1.116965369309362
gearbox_summary,2014,12,K3AG1,,,,,,,,,10134,3123,0.30817051509769094,3.244956772334294
gearbox_summary,2014,12,K3SG1,,,,,,,,,40931,36688,0.8963377391219369,1.1156508940252943
gearbox_summary,2015,11,K3AG1,,,,,,,,,49808,14992,0.30099582396402186,3.3223052294557096
gearbox_summary,2015,11,K3SG1,,,,,,,,,198060,177166,0.8945067151368272,1.1179345924161521
gearbox_summary,2015,12,K3AG1,,,,,,,,,10261,3087,0.3008478705779164,3.3239390994493037
gearbox_summary,2015,12,K3SG1,,,,,,,,,41124,36811,0.8951220698375645,1.1171660644915922
gearbox_summary,2016,11,K3AG1,,,,,,,,,43532,12847,0.29511623633189377,3.3884953685685373
gearbox_summary,2016,11,K3SG1,,,,,,,,,175941,157644,0.8960049107371221,1.1160653117150034
gearbox_summary,2016,12,K3AG1,,,,,,,,,9130,2731,0.2991237677984666,3.3430977663859394
gearbox_summary,2016,12,K3SG1,,,,,,,,,36457,32668,0.8960693419645062,1.1159850618342109
part_summary,2008,11,K3AG1,T21,205,True,1608,166,0.10323383084577115,0.30857800805987334,1608,,,,
part_summary,2008,11,K3AG1,T21,207,False,1023,101,0.09872922776148582,0.1963154864709269,1023,,,,
part_summary,2008,11,K3AG1,T21,208,False,2580,284,0.11007751937984496,0.49510650546919976,2580,,,,
part_summary,2008,11,K3AG1,T24,206,False,1590,133,0.08364779874213836,0.3051237766263673,1590,,,,
